Seq_ID,Accesion,GI,Species,Full_taxonomy,Name
rRNA_X77444.1_1-1474_DIR+,X77444.1,GI:515840,Aeromonas_liquefaciens,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas_liquefaciens,A.liquefaciens_(DSM 20638) 16S rRNA gene
rRNA_U87759.1_1-1401_DIR+,U87759.1,GI:2290233,Afipia_broomeae,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;Afipia_broomeae,"Afipia_broomeae strain F186 16S ribosomal RNA gene, partial sequence"
rRNA_NR_028846.1_1-1486_DIR+,NR_028846.1,GI:265678542,Agromyces_albus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_albus,"Agromyces albus strain VKM Ac-1800 16S ribosomal RNA, partial sequence"
rRNA_DQ673873.1_1-1483_DIR+,DQ673873.1,GI:110430497,Agromyces_allii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_allii,"Agromyces_allii strain UMS-62 16S ribosomal RNA gene, partial sequence"
rRNA_FJ607310.1_1-1477_DIR+,FJ607310.1,GI:222137870,Agromyces_atrinae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_atrinae,"Agromyces_atrinae strain P27 16S ribosomal RNA gene, partial sequence"
rRNA_FJ972171.1_1-1524_DIR+,FJ972171.1,GI:238684499,Agromyces_bauzanensis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_bauzanensis,"Agromyces_sp BZ41 16S ribosomal RNA gene, partial sequence"
rRNA_NR_024717.1_1-1511_DIR+,NR_024717.1,GI:219856898,Agromyces_bracchium,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_bracchium,"Agromyces bracchium strain IFO 16238 16S ribosomal RNA, partial sequence"
rRNA_NR_029130.1_1-1466_DIR+,NR_029130.1,GI:265678825,Agromyces_hippuratus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_hippuratus,"Agromyces hippuratus strain DSB MGU 15-6 16S ribosomal RNA, partial sequence"
rRNA_NR_043028.1_1-1470_DIR+,NR_043028.1,GI:343202644,Agromyces_lapidis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_lapidis,"Agromyces lapidis strain CD55 16S ribosomal RNA, partial sequence"
rRNA_NR_024716.1_1-1493_DIR+,NR_024716.1,GI:219856897,Agromyces_luteolus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_luteolus,"Agromyces luteolus strain IFO 16235 16S ribosomal RNA, partial sequence"
rRNA_AB648943.1_1-1485_DIR+,AB648943.1,GI:341925865,Agromyces_ramosus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_ramosus,"Agromyces_ramosus gene for 16S rRNA, partial sequence, strain: S32335"
rRNA_NR_028610.1_1-1506_DIR+,NR_028610.1,GI:265678308,Agromyces_rhizospherae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_rhizospherae,"Agromyces rhizospherae strain 14 16S ribosomal RNA, partial sequence"
rRNA_GQ241325.1_1-1409_DIR+,GQ241325.1,GI:254055933,Agromyces_soli,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_soli,"Agromyces_soli strain MJ21 16S ribosomal RNA gene, partial sequence"
rRNA_EF363711.1_1-1448_DIR+,EF363711.1,GI:125487081,Agromyces_terreus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_terreus,"Agromyces_terreus strain DS-10 16S ribosomal RNA gene, partial sequence"
rRNA_AB515329.1_1-1489_DIR+,AB515329.1,GI:255683258,Agromyces_tropicus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_tropicus,"Agromyces_tropicus gene for 16S rRNA, partial sequence, strain: AK2-48"
rRNA_NR_029108.1_2-1514_DIR+,NR_029108.1,GI:265678803,Agromyces_ulmi,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Agromyces_ulmi,"Agromyces ulmi strain XIL01 16S ribosomal RNA, partial sequence"
rRNA_NR_028862.1_2-1537_DIR+,NR_028862.1,GI:265678558,Allisonella_histaminiformans,Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonelaceae;Allisonella;Allisonella_histaminiformans,"Allisonella histaminiformans strain MR2 16S ribosomal RNA, partial sequence"
rRNA_AY957475.1_1-1489_DIR+,AY957475.1,GI:61808333,Alloiococcus_otitis,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Alloiococcus;Alloiococcus_otitis,"Alloiococcus_otitis 16S ribosomal RNA gene, partial sequence"
rRNA_AJ278695.1_1-1412_DIR+,AJ278695.1,GI:21732233,Alloscardovia_omnicolens,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia_omnicolens,"Alloscardovia_omnicolens partial 16S rRNA gene, strain CCUG 34444"
rRNA_AB538433.1_1-1488_DIR+,AB538433.1,GI:281485354,Anaerococcus_hydrogenalis,Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Anaerococcus_hydrogenalis,"Anaerococcus_hydrogenalis gene for 16S ribosomal RNA, partial sequence, strain: JCM 7635"
rRNA_D14154.1_1-1375_DIR+,D14154.1,GI:454445,Anaerococcus_lactolyticus,Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Anaerococcus_lactolyticus,"Anaerococcus_lactolyticus gene for 16S ribosomal RNA, partial sequence"
rRNA_NR_026360.1_1-1407_DIR+,NR_026360.1,GI:219846768,Anaerococcus_octavius,Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Anaerococcus_octavius,"Anaerococcus octavius NCTC 9810 16S ribosomal RNA, partial sequence"
rRNA_AB558162.1_1-1427_DIR+,AB558162.1,GI:295147940,Anaerococcus_prevotii,Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Anaerococcus_prevotii,"Anaerococcus_prevotii gene for 16S ribosomal RNA, partial sequence, strain: JCM 6490"
rRNA_GQ422749.1_1-1501_DIR+,GQ422749.1,GI:257480662,Anaerococcus_tetradius,Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Anaerococcus;Anaerococcus_tetradius,"Anaerococcus_tetradius strain F0127 16S ribosomal RNA gene, partial sequence"
rRNA_FJ947528.1_1-1381_DIR+,FJ947528.1,GI:237690153,Anaerostipes_butyraticus,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes_butyraticus,"Anaerostipes_butyraticus strain 35-7 16S ribosomal RNA gene, partial sequence"
rRNA_AB243986.1_3-1505_DIR+,AB243986.1,GI:108743308,Anaerostipes_caccae,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes_caccae,"Anaerostipes_caccae gene for 16S ribosomal RNA, partial sequence, strain: L2"
rRNA_CP002045.1_493741-495258_1-1518_DIR+,CP002045.1,GI:296930960,Arcanobacterium_haemolyticum,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium_haemolyticum,"Arcanobacterium_haemolyticum DSM 20595, complete genome"
rRNA_NR_025442.1_1-1485_DIR+,NR_025442.1,GI:219878303,Arcanobacterium_hippocoleae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium_hippocoleae,"Arcanobacterium hippocoleae strain CCUG 44697 16S ribosomal RNA, partial sequence"
rRNA_FR749962.1_1-1512_DIR+,FR749962.1,GI:315466840,Arcanobacterium_phocae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium_phocae,"Arcanobacterium_phocae partial 16S rRNA gene, type strain DSM 10002T, clone 3"
rRNA_AB558168.1_1-1473_DIR+,AB558168.1,GI:295147946,Atopobium_parvulum,Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;Atopobium_parvulum,"Atopobium_parvulum gene for 16S ribosomal RNA, partial sequence, strain: JCM 10300"
rRNA_NR_036789.1_1-1563_DIR+,NR_036819.1,GI:310974955,Atopobium_rimae,Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;Atopobium_rimae,"Atopobium rimae strain ATCC 49626 16S ribosomal RNA, partial sequence"
rRNA_AF325325.1_1-1437_DIR+,AF325325.1,GI:12240234,Atopobium_vaginae,Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;Atopobium_vaginae,"Atopobium_vaginae 16S ribosomal RNA gene, partial sequence"
rRNA_FN658986.1_1-1390_DIR+,FN658986.1,GI:294338431,Aurantimonas_altamirensis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aurantimonas;Aurantimonas_altamirensis,"Aurantimonas_altamirensis partial 16S rRNA gene, strain 4026850"
rRNA_HQ200404.1_1-1540_DIR+,HQ200404.1,GI:306410602,Bacillus_cereus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_cereus,"Bacillus_cereus strain N 16S ribosomal RNA gene, partial sequence"
rRNA_AB510696.1_1-1490_DIR+,AB510696.1,GI:284925041,Bacteroides_acidifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_acidifaciens,"Bacteroides_acidifaciens gene for 16S ribosomal RNA, partial sequence, strain: JCM 10556"
rRNA_NR_041446.1_1-1455_DIR+,NR_041446.1,GI:343200759,Bacteroides_barnesiae,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_barnesiae,"Bacteroides barnesiae strain BL2 16S ribosomal RNA, partial sequence"
rRNA_AB510698.1_1-1473_DIR+,AB510698.1,GI:284925043,Bacteroides_cellulosilyticus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_cellulosilyticus,"Bacteroides_cellulosilyticus gene for 16S ribosomal RNA, partial sequence, strain: JCM 15632"
rRNA_L35517.1_1-1464_DIR+,L35517.1,GI:529981,Bacteroides_cellulosolvens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_cellulosolvens,Bacteroides_cellulosolvens (ATCC 35603) 16S ribosomal RNA (16S rRNA)
rRNA_AB547637.1_1-1490_DIR+,AB547637.1,GI:302129275,Bacteroides_chinchillae,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_chinchillae,"Bacteroides_chinchillae gene for 16S ribosomal RNA, partial sequence"
rRNA_AB490801.1_1-1479_DIR+,AB490801.1,GI:258546325,Bacteroides_clarus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_clarus,"Bacteroides_clarus gene for 16S rRNA, partial sequence, strain: YIT 12056"
rRNA_NR_041278.1_1-1490_DIR+,NR_041278.1,GI:343200591,Bacteroides_coprocola,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_coprocola,"Bacteroides coprocola DSM 17136 strain M16 16S ribosomal RNA, partial sequence"
rRNA_NR_041461.1_1-1492_DIR+,NR_041461.1,GI:343200774,Bacteroides_coprophilus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_coprophilus,"Bacteroides coprophilus strain CB42 16S ribosomal RNA, partial sequence"
rRNA_NR_041818.1_2-1518_DIR+,NR_041818.1,GI:343198437,Bacteroides_coprosuis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_coprosuis,"Bacteroides coprosuis DSM 18011 strain PC139 16S ribosomal RNA, partial sequence"
rRNA_NR_041351.1_1-1493_DIR+,NR_041351.1,GI:343200664,Bacteroides_dorei,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_dorei,"Bacteroides dorei strain 175 16S ribosomal RNA, partial sequence"
rRNA_NR_040864.1_1-1425_DIR+,NR_040864.1,GI:343200177,Bacteroides_eggerthii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_eggerthii,"Bacteroides eggerthii strain DSM 20697 16S ribosomal RNA, partial sequence"
rRNA_AB547640.1_1-1475_DIR+,AB547640.1,GI:302129278,Bacteroides_faecis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_faecis,"Bacteroides_faecis gene for 16S ribosomal RNA, partial sequence, strain: JCM 16478"
rRNA_NR_041313.1_1-1485_DIR+,NR_041313.1,GI:343200626,Bacteroides_finegoldii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_finegoldii,"Bacteroides finegoldii strain 199 16S ribosomal RNA, partial sequence"
rRNA_AB490802.1_1-1477_DIR+,AB490802.1,GI:258546326,Bacteroides_fluxus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_fluxus,"Bacteroides_fluxus gene for 16S rRNA, partial sequence, strain: YIT 12057"
rRNA_DQ100448.1_4-1484_DIR+,DQ100448.1,GI:73665992,Bacteroides_fragilis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_fragilis,"Bacteroides_fragilis strain SDG-Mt85-5B 16S ribosomal RNA gene, partial sequence"
rRNA_AB253732.1_1-1458_DIR+,AB253732.1,GI:110796878,Bacteroides_gallinarum,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_gallinarum,"Bacteroides_gallinarum gene for 16S ribosomal RNA, partial seuqnece, strain: JCM 13658"
rRNA_AB547643.1_1-1486_DIR+,AB547643.1,GI:302129281,Bacteroides_graminisolvens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_graminisolvens,"Bacteroides_graminisolvens gene for 16S ribosomal RNA, partial sequence, strain: JCM 15093"
rRNA_AB510702.1_1-1486_DIR+,AB510702.1,GI:284925047,Bacteroides_helcogenes,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_helcogenes,"Bacteroides_helcogenes gene for 16S ribosomal RNA, partial sequence, strain: JCM 6297"
rRNA_AB214328.1_1-1484_DIR+,AB214328.1,GI:74474936,Bacteroides_intestinalis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_intestinalis,"Bacteroides_intestinalis gene for 16S rRNA, partial sequence, strain:JCM 13265"
rRNA_AY126616.1_1-1493_DIR+,AY126616.1,GI:22475171,Bacteroides_massiliensis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_massiliensis,"Bacteroides_massiliensis strain B84634 16S ribosomal RNA gene, partial sequence"
rRNA_EU887841.1_4-1494_DIR+,EU887841.1,GI:195933898,Bacteroides_nordii,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_nordii,"Bacteroides_nordii strain H6 16S ribosomal RNA gene, partial sequence"
rRNA_AB490803.1_1-1476_DIR+,AB490803.1,GI:258546327,Bacteroides_oleiciplenus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_oleiciplenus,"Bacteroides_oleiciplenus gene for 16S rRNA, partial sequence, strain: YIT 12058"
rRNA_NR_040865.1_1-1453_DIR+,NR_040865.1,GI:343200178,Bacteroides_ovatus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_ovatus,"Bacteroides ovatus strain JCM 5824 16S ribosomal RNA, partial sequence"
rRNA_AB547645.1_1-1493_DIR+,AB547645.1,GI:302129283,Bacteroides_paurosaccharolyticus,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_paurosaccharolyticus,"Bacteroides_paurosaccharolyticus gene for 16S ribosomal RNA, partial sequence"
rRNA_NR_041277.1_1-1490_DIR+,NR_041277.1,GI:343200590,Bacteroides_plebeius,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_plebeius,"Bacteroides plebeius DSM 17135 strain M12 16S ribosomal RNA, partial sequence"
rRNA_NR_041485.1_1-1428_DIR+,NR_041485.1,GI:343200798,Bacteroides_propionicifaciens,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_propionicifaciens,"Bacteroides propionicifaciens strain SV434 16S ribosomal RNA, partial sequence"
rRNA_AB542771.1_1-1476_DIR+,AB542771.1,GI:284925070,Bacteroides_pyogenes,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_pyogenes,"Bacteroides_pyogenes gene for 16S ribosomal RNA, partial sequence, strain: DSM 20612"
rRNA_AB531489.1_1-1488_DIR+,AB531489.1,GI:295841622,Bacteroides_rodentium,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_rodentium,"Bacteroides_rodentium gene for 16S rRNA, partial sequence, strain: JCM 16496"
